,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,2,0.2699007478325084,18,14,60,0,49,rough,10
1,1,1,3,0.2135064742428969,11,14,60,0,49,rough,10
2,2,2,4,0.3048609313062981,20,14,60,0,49,rough,10
3,3,3,5,0.2518444159423507,15,14,60,0,49,rough,10
4,4,4,6,0.4335090635080776,27,14,60,0,49,rough,10
5,5,5,7,0.536962438365207,33,14,60,0,49,rough,10
6,6,6,8,0.444761676461663,27,14,60,0,49,rough,10
7,7,7,9,0.6346036384231863,39,14,60,0,49,rough,10
8,8,8,10,0.6015967713897674,36,14,60,0,49,rough,10
9,9,9,11,0.4519758847934451,26,14,60,0,49,rough,10
10,10,10,12,0.3488361525184188,21,14,60,0,49,rough,10
