,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,6,0.0,2,13,74,0,27,rough,10
1,1,1,7,0.0747324847565333,5,13,74,0,27,rough,10
2,2,2,8,0.936038337977229,70,13,74,0,27,rough,10
3,3,3,9,0.7963056068977591,59,13,74,0,27,rough,10
4,4,4,10,0.1142825588093491,11,13,74,0,27,rough,10
5,5,5,8,0.936038337977229,70,13,74,0,27,rough,10
6,6,6,9,0.7963056068977591,58,13,74,0,27,rough,10
7,7,7,7,0.0747324847565333,6,13,74,0,27,rough,10
8,8,8,8,0.936038337977229,70,13,74,0,27,rough,10
9,9,9,9,0.7963056068977591,59,13,74,0,27,rough,10
10,10,10,8,0.936038337977229,68,13,74,0,27,rough,10
