,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,26,0.5981090253993594,46,13,77,0.6,212,rough,10
1,1,1,25,0.835059450382272,64,13,77,0.6,212,rough,10
2,2,2,24,0.8578289439670664,66,13,77,0.6,212,rough,10
3,3,3,23,0.6873480977629163,52,13,77,0.6,212,rough,10
4,4,4,27,0.6047962679518347,47,13,77,0.6,212,rough,10
5,5,5,28,0.6362072306555834,49,13,77,0.6,212,rough,10
6,6,6,29,0.4980585090806146,37,13,77,0.6,212,rough,10
7,7,7,30,0.2933554838757926,23,13,77,0.6,212,rough,10
8,8,8,25,0.835059450382272,63,13,77,0.6,212,rough,10
9,9,9,24,0.8578289439670664,66,13,77,0.6,212,rough,10
10,10,10,26,0.5981090253993594,47,13,77,0.6,212,rough,10
