,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,5,0.5340721961438706,35,8,62,1,205,rough,10
1,1,1,6,0.7673303530416851,47,8,62,1,205,rough,10
2,2,2,7,0.6749289328630887,41,8,62,1,205,rough,10
3,3,3,8,0.576927176584285,34,8,62,1,205,rough,10
4,4,4,9,0.5283079665477357,32,8,62,1,205,rough,10
5,5,5,10,0.4171034473984963,27,8,62,1,205,rough,10
6,6,6,11,0.6459187672257226,39,8,62,1,205,rough,10
7,7,7,12,0.6747111689714541,42,8,62,1,205,rough,10
8,8,8,6,0.7673303530416851,48,8,62,1,205,rough,10
9,9,9,7,0.6749289328630887,42,8,62,1,205,rough,10
10,10,10,8,0.576927176584285,36,8,62,1,205,rough,10
