,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,2,0.3432408586939028,26,20,76,0.4,54,rough,10
1,1,1,3,0.3686697615196568,28,20,76,0.4,54,rough,10
2,2,2,4,0.1724489132376229,12,20,76,0.4,54,rough,10
3,3,3,5,0.48017749378768,36,20,76,0.4,54,rough,10
4,4,4,6,0.6193889914304662,45,20,76,0.4,54,rough,10
5,5,5,7,0.4582938226618058,34,20,76,0.4,54,rough,10
6,6,6,8,0.1933295205646459,14,20,76,0.4,54,rough,10
7,7,7,9,0.5004097685803797,38,20,76,0.4,54,rough,10
8,8,8,10,1.0,75,20,76,0.4,54,rough,10
9,9,9,11,0.7069256952351187,54,20,76,0.4,54,rough,10
10,10,10,12,0.4521617528621696,35,20,76,0.4,54,rough,10
