,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,16,0.6283557105829345,46,33,72,0,58,rough,10
1,1,1,17,0.4855516678212551,36,33,72,0,58,rough,10
2,2,2,18,0.7329903376579091,52,33,72,0,58,rough,10
3,3,3,19,0.6006166587381232,43,33,72,0,58,rough,10
4,4,4,20,0.2839167612589167,21,33,72,0,58,rough,10
5,5,5,19,0.6006166587381232,43,33,72,0,58,rough,10
6,6,6,18,0.7329903376579091,52,33,72,0,58,rough,10
7,7,7,17,0.4855516678212551,34,33,72,0,58,rough,10
8,8,8,16,0.6283557105829345,45,33,72,0,58,rough,10
9,9,9,18,0.7329903376579091,53,33,72,0,58,rough,10
10,10,10,19,0.6006166587381232,44,33,72,0,58,rough,10
