,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,20,0.7382086968348924,49,36,65,0,21,rough,10
1,1,1,19,1.0,64,36,65,0,21,rough,10
2,2,2,18,0.8854780200836803,58,36,65,0,21,rough,10
3,3,3,17,0.8606687442765384,58,36,65,0,21,rough,10
4,4,4,21,0.4954097958895342,32,36,65,0,21,rough,10
5,5,5,22,0.6302775513280877,40,36,65,0,21,rough,10
6,6,6,23,0.6884233521894627,44,36,65,0,21,rough,10
7,7,7,24,0.2563634570668338,16,36,65,0,21,rough,10
8,8,8,25,0.1250872307634491,7,36,65,0,21,rough,10
9,9,9,19,1.0,65,36,65,0,21,rough,10
10,10,10,18,0.8854780200836803,56,36,65,0,21,rough,10
