,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,22,0.1009141435904065,8,8,72,0.2,44,rough,10
1,1,1,21,0.2995258393964817,22,8,72,0.2,44,rough,10
2,2,2,23,0.0,1,8,72,0.2,44,rough,10
3,3,3,20,0.829469592728304,59,8,72,0.2,44,rough,10
4,4,4,19,1.0,72,8,72,0.2,44,rough,10
5,5,5,18,0.5302106499335952,37,8,72,0.2,44,rough,10
6,6,6,19,1.0,72,8,72,0.2,44,rough,10
7,7,7,20,0.829469592728304,60,8,72,0.2,44,rough,10
8,8,8,21,0.2995258393964817,20,8,72,0.2,44,rough,10
9,9,9,22,0.1009141435904065,9,8,72,0.2,44,rough,10
10,10,10,19,1.0,72,8,72,0.2,44,rough,10
