,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,18,0.5584869769385209,36,15,64,0,61,rough,10
1,1,1,19,0.3210751347484518,18,15,64,0,61,rough,10
2,2,2,17,0.6700912018301747,43,15,64,0,61,rough,10
3,3,3,20,0.4629127563451476,28,15,64,0,61,rough,10
4,4,4,16,0.4131760680429818,27,15,64,0,61,rough,10
5,5,5,21,0.6924674110652616,45,15,64,0,61,rough,10
6,6,6,22,0.713322701111383,47,15,64,0,61,rough,10
7,7,7,23,0.7171477789632733,46,15,64,0,61,rough,10
8,8,8,24,0.6097711657291071,39,15,64,0,61,rough,10
9,9,9,25,0.3961198218959484,27,15,64,0,61,rough,10
10,10,10,26,0.3764628841368643,25,15,64,0,61,rough,10
