,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,9,0.7107425431413056,47,2,66,0.4,5,rough,10
1,1,1,10,0.5497138044516832,38,2,66,0.4,5,rough,10
2,2,2,8,1.0,66,2,66,0.4,5,rough,10
3,3,3,7,0.9431653125242438,62,2,66,0.4,5,rough,10
4,4,4,6,0.6497501954458332,43,2,66,0.4,5,rough,10
5,5,5,5,0.3383567745988567,22,2,66,0.4,5,rough,10
6,6,6,11,0.675571200155954,44,2,66,0.4,5,rough,10
7,7,7,12,0.198356419326273,13,2,66,0.4,5,rough,10
8,8,8,13,0.2116313725388813,16,2,66,0.4,5,rough,10
9,9,9,14,0.4391863696387141,29,2,66,0.4,5,rough,10
10,10,10,15,0.1664267257355245,10,2,66,0.4,5,rough,10
