,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,7,0.0624294832780476,5,12,79,0.8,215,rough,10
1,1,1,8,0.0645447613341522,5,12,79,0.8,215,rough,10
2,2,2,9,0.2067939857779011,15,12,79,0.8,215,rough,10
3,3,3,10,0.3935986560418318,32,12,79,0.8,215,rough,10
4,4,4,11,0.2801618362029448,23,12,79,0.8,215,rough,10
5,5,5,12,0.365500324955693,28,12,79,0.8,215,rough,10
6,6,6,13,0.32109106814837,26,12,79,0.8,215,rough,10
7,7,7,14,0.5005065253915096,39,12,79,0.8,215,rough,10
8,8,8,13,0.32109106814837,26,12,79,0.8,215,rough,10
9,9,9,12,0.365500324955693,28,12,79,0.8,215,rough,10
10,10,10,13,0.32109106814837,25,12,79,0.8,215,rough,10
