,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,15,0.5478272881798594,35,21,66,0.8,220,rough,10
1,1,1,16,0.5601893450807077,39,21,66,0.8,220,rough,10
2,2,2,17,0.6044276122661437,40,21,66,0.8,220,rough,10
3,3,3,18,0.6883985028448881,45,21,66,0.8,220,rough,10
4,4,4,19,0.560421715112876,36,21,66,0.8,220,rough,10
5,5,5,20,0.2914324057188202,20,21,66,0.8,220,rough,10
6,6,6,14,0.6510829912939476,45,21,66,0.8,220,rough,10
7,7,7,13,0.4389251374159741,30,21,66,0.8,220,rough,10
8,8,8,12,0.4073829907556924,28,21,66,0.8,220,rough,10
9,9,9,11,0.3868276297861786,24,21,66,0.8,220,rough,10
10,10,10,10,0.5683602999938835,37,21,66,0.8,220,rough,10
