,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,11,0.4519758847934451,28,14,65,1,31,rough,10
1,1,1,12,0.3488361525184188,23,14,65,1,31,rough,10
2,2,2,13,0.5582151722355261,37,14,65,1,31,rough,10
3,3,3,14,0.1613739995862394,11,14,65,1,31,rough,10
4,4,4,13,0.5582151722355261,37,14,65,1,31,rough,10
5,5,5,15,0.0,0,14,65,1,31,rough,10
6,6,6,13,0.5582151722355261,36,14,65,1,31,rough,10
7,7,7,12,0.3488361525184188,22,14,65,1,31,rough,10
8,8,8,11,0.4519758847934451,29,14,65,1,31,rough,10
9,9,9,13,0.5582151722355261,37,14,65,1,31,rough,10
10,10,10,11,0.4519758847934451,30,14,65,1,31,rough,10
