,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,3,0.1599425510155726,10,27,68,1,256,smooth,10
1,1,1,4,0.4896495768012984,34,27,68,1,256,smooth,10
2,2,2,5,0.7460892199563453,52,27,68,1,256,smooth,10
3,3,3,6,0.7763280434400782,54,27,68,1,256,smooth,10
4,4,4,7,0.597087753798208,40,27,68,1,256,smooth,10
5,5,5,6,0.7763280434400782,53,27,68,1,256,smooth,10
6,6,6,5,0.7460892199563453,50,27,68,1,256,smooth,10
7,7,7,4,0.4896495768012984,33,27,68,1,256,smooth,10
8,8,8,3,0.1599425510155726,12,27,68,1,256,smooth,10
9,9,9,5,0.7460892199563453,50,27,68,1,256,smooth,10
10,10,10,6,0.7763280434400782,52,27,68,1,256,smooth,10
