,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,30,0.4289064803639478,34,7,80,0.4,51,rough,10
1,1,1,29,0.4339939347202208,33,7,80,0.4,51,rough,10
2,2,2,28,0.2570649068245182,22,7,80,0.4,51,rough,10
3,3,3,27,0.2898055547052017,23,7,80,0.4,51,rough,10
4,4,4,26,0.4857687373965502,38,7,80,0.4,51,rough,10
5,5,5,25,0.427499048636322,36,7,80,0.4,51,rough,10
6,6,6,24,0.38762589327331,30,7,80,0.4,51,rough,10
7,7,7,23,0.7268443233895278,57,7,80,0.4,51,rough,10
8,8,8,22,1.0,79,7,80,0.4,51,rough,10
9,9,9,21,0.5622082797169747,45,7,80,0.4,51,rough,10
10,10,10,22,1.0,81,7,80,0.4,51,rough,10
