,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,12,0.6392416897223981,41,17,65,0,37,rough,10
1,1,1,13,0.50703769694252,32,17,65,0,37,rough,10
2,2,2,14,0.5796455614624194,38,17,65,0,37,rough,10
3,3,3,15,0.4575577789159396,31,17,65,0,37,rough,10
4,4,4,11,0.8147763414106513,54,17,65,0,37,rough,10
5,5,5,10,0.7959223029272313,49,17,65,0,37,rough,10
6,6,6,9,0.5888140616193095,38,17,65,0,37,rough,10
7,7,7,16,0.7457633852229868,48,17,65,0,37,rough,10
8,8,8,17,0.904191021346332,59,17,65,0,37,rough,10
9,9,9,18,0.7226091630829404,45,17,65,0,37,rough,10
10,10,10,19,0.5957131671031876,39,17,65,0,37,rough,10
