,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,13,0.6640993771064414,46,1,67,1,252,smooth,10
1,1,1,14,0.6179389898791616,40,1,67,1,252,smooth,10
2,2,2,15,0.5379350048139953,36,1,67,1,252,smooth,10
3,3,3,16,0.5974174062530081,41,1,67,1,252,smooth,10
4,4,4,17,0.731642089166327,49,1,67,1,252,smooth,10
5,5,5,18,0.8144201982925143,56,1,67,1,252,smooth,10
6,6,6,19,0.8695054901654271,58,1,67,1,252,smooth,10
7,7,7,20,0.9473233282924096,64,1,67,1,252,smooth,10
8,8,8,19,0.8695054901654271,60,1,67,1,252,smooth,10
9,9,9,20,0.9473233282924096,64,1,67,1,252,smooth,10
10,10,10,19,0.8695054901654271,56,1,67,1,252,smooth,10
