,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,13,0.7987810078357164,55,30,69,0.8,211,rough,10
1,1,1,14,0.394429334037108,27,30,69,0.8,211,rough,10
2,2,2,15,0.0,0,30,69,0.8,211,rough,10
3,3,3,12,0.6739809430179767,46,30,69,0.8,211,rough,10
4,4,4,11,0.7505541501198791,53,30,69,0.8,211,rough,10
5,5,5,10,0.9153269277290228,62,30,69,0.8,211,rough,10
6,6,6,9,0.3605324193644998,25,30,69,0.8,211,rough,10
7,7,7,13,0.7987810078357164,55,30,69,0.8,211,rough,10
8,8,8,14,0.394429334037108,27,30,69,0.8,211,rough,10
9,9,9,12,0.6739809430179767,46,30,69,0.8,211,rough,10
10,10,10,11,0.7505541501198791,52,30,69,0.8,211,rough,10
