,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,8,0.6146341535903143,40,36,64,0.4,45,rough,10
1,1,1,9,0.6924734701156648,42,36,64,0.4,45,rough,10
2,2,2,10,0.9138153375049988,59,36,64,0.4,45,rough,10
3,3,3,11,0.7420720550611297,47,36,64,0.4,45,rough,10
4,4,4,12,0.5003253431802426,33,36,64,0.4,45,rough,10
5,5,5,13,0.4679262364569895,29,36,64,0.4,45,rough,10
6,6,6,10,0.9138153375049988,59,36,64,0.4,45,rough,10
7,7,7,9,0.6924734701156648,44,36,64,0.4,45,rough,10
8,8,8,8,0.6146341535903143,40,36,64,0.4,45,rough,10
9,9,9,10,0.9138153375049988,59,36,64,0.4,45,rough,10
10,10,10,9,0.6924734701156648,45,36,64,0.4,45,rough,10
