,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,13,0.5054770096476855,37,28,77,0,30,rough,10
1,1,1,14,0.3222910746306229,24,28,77,0,30,rough,10
2,2,2,15,0.1776079874326171,15,28,77,0,30,rough,10
3,3,3,12,0.4351451620379443,34,28,77,0,30,rough,10
4,4,4,11,0.7203996978707424,58,28,77,0,30,rough,10
5,5,5,10,0.6680373901576594,54,28,77,0,30,rough,10
6,6,6,9,0.9368246020200908,73,28,77,0,30,rough,10
7,7,7,8,0.8042491713976032,61,28,77,0,30,rough,10
8,8,8,7,0.3379684085871966,26,28,77,0,30,rough,10
9,9,9,16,0.3115455347220192,23,28,77,0,30,rough,10
10,10,10,17,0.2596521054784448,18,28,77,0,30,rough,10
