,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,29,0.0926080857320877,7,28,60,0.2,7,rough,10
1,1,1,28,0.4080756184521426,25,28,60,0.2,7,rough,10
2,2,2,27,0.4075885258241591,24,28,60,0.2,7,rough,10
3,3,3,26,0.3933719529498291,24,28,60,0.2,7,rough,10
4,4,4,25,0.2796502600995224,18,28,60,0.2,7,rough,10
5,5,5,24,0.1435071932309629,8,28,60,0.2,7,rough,10
6,6,6,23,0.4264702750244219,25,28,60,0.2,7,rough,10
7,7,7,22,0.7302456119046754,45,28,60,0.2,7,rough,10
8,8,8,21,1.0,61,28,60,0.2,7,rough,10
9,9,9,22,0.7302456119046754,45,28,60,0.2,7,rough,10
10,10,10,21,1.0,60,28,60,0.2,7,rough,10
