,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,2,0.5786165730646398,42,31,71,1,192,smooth,10
1,1,1,3,0.4711801110670606,34,31,71,1,192,smooth,10
2,2,2,4,0.4689160721223303,33,31,71,1,192,smooth,10
3,3,3,1,0.6638809927759135,46,31,71,1,192,smooth,10
4,4,4,2,0.5786165730646398,41,31,71,1,192,smooth,10
5,5,5,3,0.4711801110670606,32,31,71,1,192,smooth,10
6,6,6,4,0.4689160721223303,35,31,71,1,192,smooth,10
7,7,7,5,0.4202329558291235,30,31,71,1,192,smooth,10
8,8,8,6,0.241134585052703,15,31,71,1,192,smooth,10
9,9,9,2,0.5786165730646398,40,31,71,1,192,smooth,10
10,10,10,1,0.6638809927759135,47,31,71,1,192,smooth,10
