,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,14,0.4534448810514604,35,9,80,1,191,rough,10
1,1,1,15,0.6303598567721448,51,9,80,1,191,rough,10
2,2,2,16,0.5636587149140109,47,9,80,1,191,rough,10
3,3,3,15,0.6303598567721448,50,9,80,1,191,rough,10
4,4,4,17,0.4037794353405534,33,9,80,1,191,rough,10
5,5,5,15,0.6303598567721448,50,9,80,1,191,rough,10
6,6,6,18,0.2679680392165098,22,9,80,1,191,rough,10
7,7,7,15,0.6303598567721448,51,9,80,1,191,rough,10
8,8,8,19,0.2748724008730242,21,9,80,1,191,rough,10
9,9,9,15,0.6303598567721448,50,9,80,1,191,rough,10
10,10,10,20,0.6684617586028764,53,9,80,1,191,rough,10
