,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,7,0.0747324847565333,6,13,76,0.6,214,rough,10
1,1,1,8,0.936038337977229,72,13,76,0.6,214,rough,10
2,2,2,9,0.7963056068977591,59,13,76,0.6,214,rough,10
3,3,3,10,0.1142825588093491,10,13,76,0.6,214,rough,10
4,4,4,7,0.0747324847565333,6,13,76,0.6,214,rough,10
5,5,5,9,0.7963056068977591,60,13,76,0.6,214,rough,10
6,6,6,8,0.936038337977229,70,13,76,0.6,214,rough,10
7,7,7,9,0.7963056068977591,61,13,76,0.6,214,rough,10
8,8,8,8,0.936038337977229,72,13,76,0.6,214,rough,10
9,9,9,9,0.7963056068977591,61,13,76,0.6,214,rough,10
10,10,10,8,0.936038337977229,72,13,76,0.6,214,rough,10
