,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,14,0.394429334037108,30,30,77,0.6,235,rough,10
1,1,1,15,0.0,1,30,77,0.6,235,rough,10
2,2,2,13,0.7987810078357164,60,30,77,0.6,235,rough,10
3,3,3,12,0.6739809430179767,52,30,77,0.6,235,rough,10
4,4,4,11,0.7505541501198791,57,30,77,0.6,235,rough,10
5,5,5,13,0.7987810078357164,63,30,77,0.6,235,rough,10
6,6,6,12,0.6739809430179767,51,30,77,0.6,235,rough,10
7,7,7,11,0.7505541501198791,58,30,77,0.6,235,rough,10
8,8,8,13,0.7987810078357164,61,30,77,0.6,235,rough,10
9,9,9,14,0.394429334037108,29,30,77,0.6,235,rough,10
10,10,10,13,0.7987810078357164,60,30,77,0.6,235,rough,10
