,trials,x,zs,z_scaled,kernel,globalmax,t,environment
0,1,10,0.15199781267246576,10,31,63,1,smooth
1,2,11,0.2688497354299004,16,31,63,1,smooth
2,3,12,0.3476865408178334,23,31,63,1,smooth
3,4,9,0.009915499922627692,0,31,63,1,smooth
4,5,13,0.3442025165619341,20,31,63,1,smooth
5,1,19,0.6564911888878625,40,31,61,1,smooth
6,2,20,0.732621574324465,44,31,61,1,smooth
7,3,18,0.5463270812380823,33,31,61,1,smooth
8,4,21,0.7595331193068757,47,31,61,1,smooth
9,5,22,0.7325139222842392,47,31,61,1,smooth
10,6,17,0.40313917457125786,26,31,61,1,smooth
11,7,23,0.6703089586164483,41,31,61,1,smooth
12,8,24,0.6138283306580333,35,31,61,1,smooth
13,9,16,0.26192002589765967,16,31,61,1,smooth
14,10,25,0.5883163222190819,36,31,61,1,smooth
15,1,3,0.1815716793250814,13,31,68,1,smooth
16,2,4,0.3157820312260433,21,31,68,1,smooth
17,3,5,0.46708101838200217,31,31,68,1,smooth
18,4,6,0.4947402498485432,35,31,68,1,smooth
19,5,7,0.4160130006631926,29,31,68,1,smooth
20,1,3,0.9844831387036941,67,31,69,1,smooth
21,2,4,0.8491174725953746,59,31,69,1,smooth
22,3,2,1.0,69,31,69,1,smooth
23,4,5,0.7077293106417366,48,31,69,1,smooth
24,5,6,0.6459471805178142,44,31,69,1,smooth
25,6,1,0.8983346825905716,61,31,69,1,smooth
26,7,7,0.6367852056774981,42,31,69,1,smooth
27,8,8,0.6537520099870497,45,31,69,1,smooth
28,9,9,0.668883150961484,45,31,69,1,smooth
29,10,10,0.6317141471277063,44,31,69,1,smooth
30,1,2,0.780842762136373,55,31,71,1,smooth
31,2,3,0.7343056303912403,53,31,71,1,smooth
32,3,4,0.6027038644340635,42,31,71,1,smooth
33,4,1,0.7077907193655604,49,31,71,1,smooth
34,5,5,0.45784689540534107,33,31,71,1,smooth
35,1,7,0.31419787645333774,19,31,61,1,smooth
36,2,6,0.3113553813426001,19,31,61,1,smooth
37,3,8,0.38465856827555217,23,31,61,1,smooth
38,4,9,0.528206806839597,32,31,61,1,smooth
39,5,5,0.4229822233219205,26,31,61,1,smooth
40,6,10,0.6520197863490393,40,31,61,1,smooth
41,7,11,0.6159634521295274,37,31,61,1,smooth
42,8,4,0.6655790974367705,39,31,61,1,smooth
43,9,12,0.4234080418451264,26,31,61,1,smooth
44,10,3,0.9033875173398507,56,31,61,1,smooth
45,1,26,0.7222878057449496,44,31,60,1,smooth
46,2,27,0.7263949022943949,45,31,60,1,smooth
47,3,25,0.5976012288064978,36,31,60,1,smooth
48,4,28,0.6192979901943207,37,31,60,1,smooth
49,5,24,0.42939765783958866,27,31,60,1,smooth
50,1,13,0.05116923286041199,4,31,68,1,smooth
51,2,14,0.14212656528283116,10,31,68,1,smooth
52,3,15,0.28579813381913005,21,31,68,1,smooth
53,4,12,0.09743669475282676,6,31,68,1,smooth
54,5,11,0.2911993687447766,20,31,68,1,smooth
55,6,16,0.4322232779996376,30,31,68,1,smooth
56,7,17,0.45904537853863686,31,31,68,1,smooth
57,8,10,0.4535058333782137,30,31,68,1,smooth
58,9,9,0.415513176035796,28,31,68,1,smooth
59,10,8,0.23393417541026992,16,31,68,1,smooth
