,trials,x,zs,z_scaled,kernel,globalmax,t,environment
0,1,13,0.9310868035614035,64,31,68,1,smooth
1,2,12,1.0,68,31,68,1,smooth
2,3,11,0.9439160664377791,65,31,68,1,smooth
3,4,14,0.7153738460737423,50,31,68,1,smooth
4,5,15,0.5627487657911455,38,31,68,1,smooth
5,1,10,0.5206256019928701,35,31,66,1,smooth
6,2,11,0.5255551189865085,34,31,66,1,smooth
7,3,9,0.5027108750416965,34,31,66,1,smooth
8,4,12,0.6965523342161091,47,31,66,1,smooth
9,5,13,0.9416350039466721,62,31,66,1,smooth
10,6,14,1.0,64,31,66,1,smooth
11,7,15,0.7884426473342905,53,31,66,1,smooth
12,8,8,0.41435911180384655,27,31,66,1,smooth
13,9,16,0.5004607487492915,33,31,66,1,smooth
14,10,17,0.3865724709952218,25,31,66,1,smooth
15,1,2,0.45781528715216874,33,31,72,1,smooth
16,2,3,0.5817601894963366,41,31,72,1,smooth
17,3,1,0.3479328683635877,26,31,72,1,smooth
18,4,4,0.7298196937604873,53,31,72,1,smooth
19,5,5,0.9051040361816549,66,31,72,1,smooth
20,1,23,0.7486713131577437,48,31,66,1,smooth
21,2,22,0.2705167737284299,19,31,66,1,smooth
22,3,24,0.965808389255045,63,31,66,1,smooth
23,4,25,0.7349329286411572,49,31,66,1,smooth
24,5,26,0.44576463365994684,29,31,66,1,smooth
25,6,21,0.002499763956237678,1,31,66,1,smooth
26,7,27,0.4712926764320833,31,31,66,1,smooth
27,8,28,0.6172454785436683,41,31,66,1,smooth
28,9,20,0.04716160558876339,3,31,66,1,smooth
29,10,29,0.45657611556742933,30,31,66,1,smooth
30,1,11,0.11129690982312268,8,31,70,1,smooth
31,2,12,0.0,0,31,70,1,smooth
32,3,13,0.06093814441027491,7,31,70,1,smooth
33,4,10,0.2757490621235896,19,31,70,1,smooth
34,5,9,0.4749281783754378,34,31,70,1,smooth
35,1,22,0.5725780683089297,38,31,64,1,smooth
36,2,23,0.5846204173348586,39,31,64,1,smooth
37,3,24,0.5494860067851998,35,31,64,1,smooth
38,4,21,0.6613760024059651,43,31,64,1,smooth
39,5,25,0.33865126250902267,21,31,64,1,smooth
40,6,20,0.8250639541917311,54,31,64,1,smooth
41,7,19,0.8925097889818124,57,31,64,1,smooth
42,8,18,0.7050926743899767,45,31,64,1,smooth
43,9,17,0.35041176265274776,22,31,64,1,smooth
44,10,26,0.09123079881496535,7,31,64,1,smooth
45,1,28,0.6451809849839495,46,31,70,1,smooth
46,2,27,0.8249261808455867,60,31,70,1,smooth
47,3,29,0.40270340591158144,28,31,70,1,smooth
48,4,30,0.3210799742244812,23,31,70,1,smooth
49,5,26,0.7631571180501049,54,31,70,1,smooth
50,1,6,0.24113458505270305,16,31,62,1,smooth
51,2,7,0.13120122468335393,7,31,62,1,smooth
52,3,5,0.4202329558291235,28,31,62,1,smooth
53,4,4,0.46891607212233033,28,31,62,1,smooth
54,5,3,0.4711801110670606,29,31,62,1,smooth
55,6,2,0.5786165730646398,35,31,62,1,smooth
56,7,1,0.6638809927759135,43,31,62,1,smooth
57,8,8,0.23393417541026992,14,31,62,1,smooth
58,9,9,0.415513176035796,25,31,62,1,smooth
59,10,10,0.4535058333782137,30,31,62,1,smooth
