,trials,x,zs,z_scaled,kernel,globalmax,t,environment
0,1,9,0.06296905374828676,4,0,62,1,smooth
1,2,8,0.09898925781577664,7,0,62,1,smooth
2,3,10,0.08884411520956448,5,0,62,1,smooth
3,4,7,0.21264320055056687,13,0,62,1,smooth
4,5,6,0.38831563190634455,24,0,62,1,smooth
5,1,23,0.4091885760361319,29,0,70,1,smooth
6,2,22,0.19241703166909546,14,0,70,1,smooth
7,3,24,0.6649180656737889,46,0,70,1,smooth
8,4,25,0.8759755949585178,60,0,70,1,smooth
9,5,26,0.9868090207464583,69,0,70,1,smooth
10,6,21,0.06117540453028253,6,0,70,1,smooth
11,7,27,1.0,72,0,70,1,smooth
12,8,28,0.9380172889229371,66,0,70,1,smooth
13,9,29,0.8242552670877565,58,0,70,1,smooth
14,10,30,0.6993000122023717,49,0,70,1,smooth
15,1,26,0.828632772158036,62,0,73,1,smooth
16,2,25,0.5688641647175368,40,0,73,1,smooth
17,3,27,1.0,70,0,73,1,smooth
18,4,28,0.999040540390667,72,0,73,1,smooth
19,5,24,0.37007338242771814,27,0,73,1,smooth
20,1,14,0.5482240170044905,42,0,78,1,smooth
21,2,13,0.4768437989224892,38,0,78,1,smooth
22,3,15,0.5219982919602216,41,0,78,1,smooth
23,4,16,0.49698399806675614,38,0,78,1,smooth
24,5,17,0.5208937951364767,40,0,78,1,smooth
25,6,12,0.3428826466609615,27,0,78,1,smooth
26,7,18,0.5369527674197859,41,0,78,1,smooth
27,8,19,0.5345222037205756,41,0,78,1,smooth
28,9,11,0.3041842127512766,23,0,78,1,smooth
29,10,20,0.5129970642778,40,0,78,1,smooth
30,1,11,0.18944448938884098,13,0,74,1,smooth
31,2,12,0.1969136396249461,14,0,74,1,smooth
32,3,10,0.3812546501001692,28,0,74,1,smooth
33,4,9,0.5321925734850401,41,0,74,1,smooth
34,5,8,0.5590460607831814,41,0,74,1,smooth
35,1,27,0.2955838946767434,19,0,63,1,smooth
36,2,28,0.3738381391688357,24,0,63,1,smooth
37,3,29,0.4522405649253816,27,0,63,1,smooth
38,4,26,0.21498227732086322,14,0,63,1,smooth
39,5,25,0.13546589089653335,10,0,63,1,smooth
40,6,24,0.06019080596151077,6,0,63,1,smooth
41,7,23,0.0,0,0,63,1,smooth
42,8,22,0.019615445210544532,1,0,63,1,smooth
43,9,21,0.17176883491303027,11,0,63,1,smooth
44,10,20,0.4008538394718157,28,0,63,1,smooth
45,1,5,0.7156035063150914,46,0,65,1,smooth
46,2,4,0.8442527937245109,54,0,65,1,smooth
47,3,6,0.49198176022679757,32,0,65,1,smooth
48,4,3,0.7768153252392527,50,0,65,1,smooth
49,5,7,0.39862735626029355,25,0,65,1,smooth
50,1,10,0.9224195494889865,63,0,69,1,smooth
51,2,11,1.0,69,0,69,1,smooth
52,3,9,0.627919182869412,43,0,69,1,smooth
53,4,12,0.9181612413089759,65,0,69,1,smooth
54,5,13,0.7635794406028203,52,0,69,1,smooth
55,6,8,0.24047814360533465,18,0,69,1,smooth
56,7,14,0.6125632037580412,43,0,69,1,smooth
57,8,7,0.0,0,0,69,1,smooth
58,9,15,0.5643679317568718,39,0,69,1,smooth
59,10,16,0.6200652170459323,43,0,69,1,smooth
