,trials,x,zs,z_scaled,kernel,globalmax,t,environment
0,1,6,0.8290424871720697,65,37,77,1,rough
1,2,5,0.6793049776546309,52,37,77,1,rough
2,3,7,0.8333849639607885,63,37,77,1,rough
3,4,8,0.4417233130039695,35,37,77,1,rough
4,5,7,0.8333849639607885,63,37,77,1,rough
5,1,24,0.2954206500372349,22,37,68,1,rough
6,2,23,0.6438666141707896,44,37,68,1,rough
7,3,25,0.4957695194975224,36,37,68,1,rough
8,4,22,0.7974891102563684,53,37,68,1,rough
9,5,21,0.2875523101167083,21,37,68,1,rough
10,6,26,0.50837389412921,34,37,68,1,rough
11,7,27,0.5490802756920385,39,37,68,1,rough
12,8,28,0.6427444382856763,42,37,68,1,rough
13,9,29,0.8714406805005026,58,37,68,1,rough
14,10,30,0.6053106824746499,43,37,68,1,rough
15,1,17,0.06952231760967353,4,37,74,1,rough
16,2,16,0.09319035128729138,7,37,74,1,rough
17,3,18,0.5983815530760106,44,37,74,1,rough
18,4,19,1.0,74,37,74,1,rough
19,5,20,0.8918477490648958,66,37,74,1,rough
20,1,24,0.7516432410340333,49,37,66,1,rough
21,2,23,0.36292582203118756,26,37,66,1,rough
22,3,25,0.8727870508059238,58,37,66,1,rough
23,4,26,0.46135020065594523,31,37,66,1,rough
24,5,22,0.5569632571681224,36,37,66,1,rough
25,6,21,0.6201557504516158,42,37,66,1,rough
26,7,27,0.26179515445106655,19,37,66,1,rough
27,8,28,0.6044870459832244,40,37,66,1,rough
28,9,20,0.9612122082264287,63,37,66,1,rough
29,10,19,0.7261583047807681,49,37,66,1,rough
30,1,20,0.6952837983493713,55,37,77,1,rough
31,2,19,0.7018787367831014,54,37,77,1,rough
32,3,18,0.6328705197705875,50,37,77,1,rough
33,4,21,0.6683018039365948,51,37,77,1,rough
34,5,22,0.2758164230360342,20,37,77,1,rough
35,1,27,0.6047962679518347,37,37,61,1,rough
36,2,26,0.5981090253993594,37,37,61,1,rough
37,3,25,0.835059450382272,50,37,61,1,rough
38,4,28,0.6362072306555834,39,37,61,1,rough
39,5,29,0.49805850908061466,31,37,61,1,rough
40,6,30,0.2933554838757926,18,37,61,1,rough
41,7,24,0.8578289439670664,53,37,61,1,rough
42,8,23,0.6873480977629163,42,37,61,1,rough
43,9,22,0.27995821157943135,18,37,61,1,rough
44,10,21,0.23271371172842847,13,37,61,1,rough
45,1,12,0.6739809430179767,41,37,61,1,rough
46,2,11,0.7505541501198791,44,37,61,1,rough
47,3,13,0.7987810078357164,49,37,61,1,rough
48,4,14,0.39442933403710806,24,37,61,1,rough
49,5,10,0.9153269277290229,57,37,61,1,rough
50,1,12,0.07754816768002311,5,37,66,1,rough
51,2,13,0.20711077188287735,13,37,66,1,rough
52,3,11,0.08884898935690141,6,37,66,1,rough
53,4,14,0.3003144571716234,19,37,66,1,rough
54,5,15,0.6458642840459379,43,37,66,1,rough
55,6,16,0.7508467348717629,50,37,66,1,rough
56,7,17,0.7417863615468759,50,37,66,1,rough
57,8,18,0.690691896841164,44,37,66,1,rough
58,9,19,0.4468017619100826,28,37,66,1,rough
59,10,20,0.0,0,37,66,1,rough
