,trials,x,zs,z_scaled,kernel,globalmax,t,environment
0,1,29,0.41348164465673193,27,15,67,1,rough
1,2,28,0.5047157841007583,34,15,67,1,rough
2,3,30,0.5426981603114386,36,15,67,1,rough
3,4,27,0.4624724616134172,31,15,67,1,rough
4,5,26,0.6353954843639091,42,15,67,1,rough
5,6,25,0.6314817855314118,41,15,67,1,rough
6,7,24,0.36567800981874155,24,15,67,1,rough
7,8,23,0.4590370274137712,32,15,67,1,rough
8,9,22,0.4185236678889711,29,15,67,1,rough
9,10,21,0.4654917293031245,30,15,67,1,rough
10,1,3,0.6346208356019586,48,15,74,1,rough
11,2,2,0.7859308666434733,59,15,74,1,rough
12,3,1,0.7163568605311451,53,15,74,1,rough
13,4,4,0.3686009483489339,28,15,74,1,rough
14,5,5,0.23514639420959366,18,15,74,1,rough
15,1,4,0.3967578375902506,29,15,74,1,rough
16,2,5,0.0,0,15,74,1,rough
17,3,6,0.08089299769923165,5,15,74,1,rough
18,4,3,0.4454188633457006,34,15,74,1,rough
19,5,2,0.5178657345099678,38,15,74,1,rough
20,6,1,0.21259634072359979,17,15,74,1,rough
21,7,7,0.6472938189276805,47,15,74,1,rough
22,8,8,0.9735869396765416,73,15,74,1,rough
23,9,9,0.7878578282366842,59,15,74,1,rough
24,10,10,0.6206789200154424,46,15,74,1,rough
25,1,1,0.0,0,15,73,1,rough
26,2,2,0.19107719698922085,14,15,73,1,rough
27,3,3,0.7125645622989514,52,15,73,1,rough
28,4,4,0.43353600909461565,33,15,73,1,rough
29,5,5,0.16944809262696914,13,15,73,1,rough
30,1,7,0.6435586453122651,49,15,78,1,rough
31,2,6,0.46541595108087874,36,15,78,1,rough
32,3,5,0.5009537731557802,40,15,78,1,rough
33,4,8,0.6146341535903143,50,15,78,1,rough
34,5,9,0.6924734701156648,54,15,78,1,rough
35,6,10,0.9138153375049988,70,15,78,1,rough
36,7,11,0.7420720550611297,57,15,78,1,rough
37,8,12,0.5003253431802426,40,15,78,1,rough
38,9,13,0.46792623645698955,38,15,78,1,rough
39,10,14,0.42175945147389476,34,15,78,1,rough
40,1,3,0.40825413455391807,30,15,71,1,rough
41,2,4,0.22414747661997342,16,15,71,1,rough
42,3,5,0.19895917342050737,14,15,71,1,rough
43,4,2,0.39077970106875626,27,15,71,1,rough
44,5,1,0.6700168170121686,47,15,71,1,rough
45,1,2,0.7943865271211237,48,15,61,1,rough
46,2,3,0.9715097066051628,59,15,61,1,rough
47,3,4,0.8604519538022272,55,15,61,1,rough
48,4,5,0.5340721961438706,32,15,61,1,rough
49,5,6,0.7673303530416851,46,15,61,1,rough
50,6,7,0.6749289328630887,41,15,61,1,rough
51,7,8,0.576927176584285,35,15,61,1,rough
52,8,9,0.5283079665477357,33,15,61,1,rough
53,9,10,0.41710344739849636,25,15,61,1,rough
54,10,11,0.6459187672257226,40,15,61,1,rough
55,1,1,0.992392343412836,71,15,73,1,rough
56,2,2,0.9576252730272603,70,15,73,1,rough
57,3,3,0.7395235364103776,53,15,73,1,rough
58,4,4,0.9966837725251273,73,15,73,1,rough
59,5,5,0.8836367912011707,65,15,73,1,rough
