,trials,x,zs,z_scaled,kernel,globalmax,t,environment
0,1,24,0.34678761792195345,21,11,66,1,smooth
1,2,25,0.726408910035048,48,11,66,1,smooth
2,3,26,0.8930266146657662,60,11,66,1,smooth
3,4,27,0.7798297914266749,49,11,66,1,smooth
4,5,28,0.6130491126901965,41,11,66,1,smooth
5,6,25,0.726408910035048,49,11,66,1,smooth
6,7,26,0.8930266146657662,59,11,66,1,smooth
7,8,25,0.726408910035048,48,11,66,1,smooth
8,9,26,0.8930266146657662,59,11,66,1,smooth
9,10,25,0.726408910035048,48,11,66,1,smooth
10,1,30,0.5422229390095384,38,11,68,1,smooth
11,2,29,0.6554053341394493,47,11,68,1,smooth
12,3,28,0.5999243264944253,41,11,68,1,smooth
13,4,29,0.6554053341394493,46,11,68,1,smooth
14,5,30,0.5422229390095384,37,11,68,1,smooth
15,1,15,0.29943681230717667,22,11,76,1,smooth
16,2,16,0.15871608079788124,12,11,76,1,smooth
17,3,14,0.5217172975526092,39,11,76,1,smooth
18,4,13,0.7891870622313778,59,11,76,1,smooth
19,5,12,0.9728748116475399,73,11,76,1,smooth
20,6,11,1.0,76,11,76,1,smooth
21,7,10,0.9349208446455959,70,11,76,1,smooth
22,8,9,0.7585356074879476,59,11,76,1,smooth
23,9,12,0.9728748116475399,74,11,76,1,smooth
24,10,11,1.0,76,11,76,1,smooth
25,1,24,0.39344333388567326,27,11,71,1,smooth
26,2,25,0.576512180845716,41,11,71,1,smooth
27,3,26,0.5788666370012401,41,11,71,1,smooth
28,4,23,0.18354177247738074,10,11,71,1,smooth
29,5,25,0.576512180845716,41,11,71,1,smooth
30,1,13,0.6034535641267718,41,11,69,1,smooth
31,2,14,0.6760320026706097,47,11,69,1,smooth
32,3,15,0.6952484253146566,47,11,69,1,smooth
33,4,16,0.7101301906529403,49,11,69,1,smooth
34,5,12,0.550624214885839,40,11,69,1,smooth
35,6,17,0.7883132171831051,54,11,69,1,smooth
36,7,18,0.8655125828350907,61,11,69,1,smooth
37,8,19,0.84346004349064,57,11,69,1,smooth
38,9,18,0.8655125828350907,61,11,69,1,smooth
39,10,17,0.7883132171831051,53,11,69,1,smooth
40,1,27,0.6108862748036404,46,11,75,1,smooth
41,2,26,0.7300995070794045,54,11,75,1,smooth
42,3,25,0.6814349059178852,50,11,75,1,smooth
43,4,28,0.3232913844872023,25,11,75,1,smooth
44,5,27,0.6108862748036404,45,11,75,1,smooth
45,1,14,0.0,1,11,75,1,smooth
46,2,15,0.07019086795529562,6,11,75,1,smooth
47,3,16,0.2965374464171663,22,11,75,1,smooth
48,4,17,0.619580551738059,46,11,75,1,smooth
49,5,18,0.913144800128626,68,11,75,1,smooth
50,6,19,1.0,75,11,75,1,smooth
51,7,20,0.8696621929072221,66,11,75,1,smooth
52,8,19,1.0,73,11,75,1,smooth
53,9,18,0.913144800128626,67,11,75,1,smooth
54,10,19,1.0,76,11,75,1,smooth
55,1,25,0.2550248281860953,16,11,65,1,smooth
56,2,26,0.5942687846225974,38,11,65,1,smooth
57,3,24,0.028077877822841643,2,11,65,1,smooth
58,4,27,0.8858239349719894,57,11,65,1,smooth
59,5,26,0.5942687846225974,38,11,65,1,smooth
