,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,6,0.0,2,13,74,0,28,rough
1,1,7,0.07473248475653334,5,13,74,0,28,rough
2,2,8,0.936038337977229,70,13,74,0,28,rough
3,3,9,0.7963056068977591,59,13,74,0,28,rough
4,4,10,0.11428255880934914,11,13,74,0,28,rough
5,5,8,0.936038337977229,70,13,74,0,28,rough
6,6,9,0.7963056068977591,58,13,74,0,28,rough
7,7,7,0.07473248475653334,6,13,74,0,28,rough
8,8,8,0.936038337977229,70,13,74,0,28,rough
9,9,9,0.7963056068977591,59,13,74,0,28,rough
10,10,8,0.936038337977229,68,13,74,0,28,rough
