,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,19,0.3825851950026677,25,30,64,1,77,smooth
1,1,20,0.3790120233346004,25,30,64,1,77,smooth
2,2,21,0.2578088551559046,17,30,64,1,77,smooth
3,3,18,0.30581606862494903,19,30,64,1,77,smooth
4,4,17,0.19591244680975642,13,30,64,1,77,smooth
5,5,16,0.07942998123673048,6,30,64,1,77,smooth
6,6,15,0.0,0,30,64,1,77,smooth
7,7,22,0.10469565873394632,5,30,64,1,77,smooth
8,8,23,0.03942321410779356,3,30,64,1,77,smooth
9,9,24,0.053840490008198454,3,30,64,1,77,smooth
10,10,25,0.07522264578643877,6,30,64,1,77,smooth
