,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,6,0.24113458505270305,16,31,66,1,80,smooth
1,1,7,0.13120122468335393,10,31,66,1,80,smooth
2,2,5,0.4202329558291235,29,31,66,1,80,smooth
3,3,4,0.46891607212233033,31,31,66,1,80,smooth
4,4,3,0.4711801110670606,30,31,66,1,80,smooth
5,5,2,0.5786165730646398,39,31,66,1,80,smooth
6,6,1,0.6638809927759135,43,31,66,1,80,smooth
7,7,2,0.5786165730646398,38,31,66,1,80,smooth
8,8,3,0.4711801110670606,32,31,66,1,80,smooth
9,9,4,0.46891607212233033,31,31,66,1,80,smooth
10,10,5,0.4202329558291235,28,31,66,1,80,smooth
