,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,22,0.7688118669245889,60,22,77,0.4,0,rough
1,1,23,0.41377686035046957,34,22,77,0.4,0,rough
2,2,21,0.8343249292753155,65,22,77,0.4,0,rough
3,3,24,0.0,0,22,77,0.4,0,rough
4,4,20,0.26417814927570815,19,22,77,0.4,0,rough
5,5,19,0.32516526426771203,25,22,77,0.4,0,rough
6,6,21,0.8343249292753155,65,22,77,0.4,0,rough
7,7,22,0.7688118669245889,61,22,77,0.4,0,rough
8,8,23,0.41377686035046957,31,22,77,0.4,0,rough
9,9,21,0.8343249292753155,64,22,77,0.4,0,rough
10,10,22,0.7688118669245889,57,22,77,0.4,0,rough
