,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,13,0.1654979598046163,12,32,74,0,24,smooth
1,1,14,0.4559936025491648,33,32,74,0,24,smooth
2,2,15,0.8174652111195516,61,32,74,0,24,smooth
3,3,16,1.0,76,32,74,0,24,smooth
4,4,17,0.9369317318154856,70,32,74,0,24,smooth
5,5,18,0.6574371280473204,48,32,74,0,24,smooth
6,6,19,0.421571596803973,29,32,74,0,24,smooth
7,7,16,1.0,74,32,74,0,24,smooth
8,8,15,0.8174652111195516,61,32,74,0,24,smooth
9,9,16,1.0,74,32,74,0,24,smooth
10,10,15,0.8174652111195516,60,32,74,0,24,smooth
