,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,29,0.06221255684903471,3,37,63,0.2,18,smooth
1,1,28,0.3232913844872023,21,37,63,0.2,18,smooth
2,2,27,0.6108862748036404,39,37,63,0.2,18,smooth
3,3,26,0.7300995070794045,47,37,63,0.2,18,smooth
4,4,25,0.6814349059178852,42,37,63,0.2,18,smooth
5,5,24,0.6505292224838615,41,37,63,0.2,18,smooth
6,6,23,0.7083698702984204,46,37,63,0.2,18,smooth
7,7,22,0.7620596281381998,49,37,63,0.2,18,smooth
8,8,21,0.7774497650253868,48,37,63,0.2,18,smooth
9,9,20,0.8214056243670559,52,37,63,0.2,18,smooth
10,10,19,0.880232792052808,56,37,63,0.2,18,smooth
