,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,19,0.6006166587381232,46,33,80,0.4,27,rough
1,1,18,0.7329903376579091,60,33,80,0.4,27,rough
2,2,20,0.28391676125891674,21,33,80,0.4,27,rough
3,3,17,0.4855516678212551,39,33,80,0.4,27,rough
4,4,18,0.7329903376579091,58,33,80,0.4,27,rough
5,5,19,0.6006166587381232,49,33,80,0.4,27,rough
6,6,18,0.7329903376579091,58,33,80,0.4,27,rough
7,7,17,0.4855516678212551,39,33,80,0.4,27,rough
8,8,19,0.6006166587381232,48,33,80,0.4,27,rough
9,9,18,0.7329903376579091,59,33,80,0.4,27,rough
10,10,19,0.6006166587381232,48,33,80,0.4,27,rough
