,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,15,0.134367208001501,9,9,61,0,65,smooth
1,1,16,0.3686722568245623,20,9,61,0,65,smooth
2,2,17,0.7176450067071728,43,9,61,0,65,smooth
3,3,18,0.9436044923667241,57,9,61,0,65,smooth
4,4,19,1.0,60,9,61,0,65,smooth
5,5,20,0.9035846267706472,56,9,61,0,65,smooth
6,6,19,1.0,61,9,61,0,65,smooth
7,7,18,0.9436044923667241,56,9,61,0,65,smooth
8,8,17,0.7176450067071728,43,9,61,0,65,smooth
9,9,19,1.0,60,9,61,0,65,smooth
10,10,18,0.9436044923667241,56,9,61,0,65,smooth
