,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,14,0.4777140856156505,36,14,76,0,9,smooth
1,1,15,0.17618121017705604,12,14,76,0,9,smooth
2,2,13,0.723793347479395,54,14,76,0,9,smooth
3,3,12,0.6235806158000567,48,14,76,0,9,smooth
4,4,11,0.32970452368672754,25,14,76,0,9,smooth
5,5,16,0.172623075073354,12,14,76,0,9,smooth
6,6,17,0.4244169621310078,32,14,76,0,9,smooth
7,7,18,0.6429258140521318,49,14,76,0,9,smooth
8,8,19,0.6890791048065594,52,14,76,0,9,smooth
9,9,20,0.6021641643355382,45,14,76,0,9,smooth
10,10,19,0.6890791048065594,52,14,76,0,9,smooth
