,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,7,0.4487617759180018,30,21,67,0,63,smooth
1,1,6,0.5586969535240989,37,21,67,0,63,smooth
2,2,5,0.6973475706624677,46,21,67,0,63,smooth
3,3,4,0.8206200840533938,55,21,67,0,63,smooth
4,4,3,0.9246103388763343,60,21,67,0,63,smooth
5,5,2,0.9646803999278067,64,21,67,0,63,smooth
6,6,1,0.8618724256949784,57,21,67,0,63,smooth
7,7,2,0.9646803999278067,64,21,67,0,63,smooth
8,8,3,0.9246103388763343,64,21,67,0,63,smooth
9,9,4,0.8206200840533938,54,21,67,0,63,smooth
10,10,5,0.6973475706624677,46,21,67,0,63,smooth
