,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,2,0.23670006986305983,19,26,76,1,9,smooth
1,1,3,0.3535886159292143,27,26,76,1,9,smooth
2,2,4,0.40487596083973315,32,26,76,1,9,smooth
3,3,5,0.403356998889531,32,26,76,1,9,smooth
4,4,6,0.5054816669017494,40,26,76,1,9,smooth
5,5,7,0.7506084765638589,57,26,76,1,9,smooth
6,6,8,0.9557327198254492,73,26,76,1,9,smooth
7,7,9,0.9142781590145536,70,26,76,1,9,smooth
8,8,8,0.9557327198254492,73,26,76,1,9,smooth
9,9,9,0.9142781590145536,69,26,76,1,9,smooth
10,10,8,0.9557327198254492,75,26,76,1,9,smooth
