,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,9,0.5859618548382588,45,15,76,0.2,63,rough
1,1,10,0.7818645619232797,61,15,76,0.2,63,rough
2,2,11,1.0,76,15,76,0.2,63,rough
3,3,12,0.8892907645532425,68,15,76,0.2,63,rough
4,4,11,1.0,75,15,76,0.2,63,rough
5,5,10,0.7818645619232797,59,15,76,0.2,63,rough
6,6,11,1.0,75,15,76,0.2,63,rough
7,7,9,0.5859618548382588,44,15,76,0.2,63,rough
8,8,10,0.7818645619232797,58,15,76,0.2,63,rough
9,9,11,1.0,75,15,76,0.2,63,rough
10,10,10,0.7818645619232797,59,15,76,0.2,63,rough
