,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,23,0.012717580115218941,1,9,65,0,18,smooth
1,1,22,0.2732086841680783,17,9,65,0,18,smooth
2,2,21,0.6383660304939222,42,9,65,0,18,smooth
3,3,24,0.0076126256164341065,1,9,65,0,18,smooth
4,4,21,0.6383660304939222,41,9,65,0,18,smooth
5,5,20,0.9035846267706472,59,9,65,0,18,smooth
6,6,19,1.0,64,9,65,0,18,smooth
7,7,18,0.9436044923667241,62,9,65,0,18,smooth
8,8,17,0.7176450067071728,46,9,65,0,18,smooth
9,9,16,0.3686722568245623,24,9,65,0,18,smooth
10,10,21,0.6383660304939222,41,9,65,0,18,smooth
