,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,5,0.4943523444200267,30,36,61,0.4,46,smooth
1,1,6,0.34761961630896226,21,36,61,0.4,46,smooth
2,2,7,0.24962429237364994,13,36,61,0.4,46,smooth
3,3,4,0.536311309188087,32,36,61,0.4,46,smooth
4,4,3,0.5413738171534932,34,36,61,0.4,46,smooth
5,5,2,0.6111143385860665,37,36,61,0.4,46,smooth
6,6,1,0.6766834053983126,41,36,61,0.4,46,smooth
7,7,8,0.3841351757692955,22,36,61,0.4,46,smooth
8,8,9,0.6509396239863302,40,36,61,0.4,46,smooth
9,9,10,0.8419132415680805,53,36,61,0.4,46,smooth
10,10,11,0.9439160664377791,58,36,61,0.4,46,smooth
