,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,7,0.6041282272719009,40,11,68,1,24,smooth
1,1,8,0.634919768891561,42,11,68,1,24,smooth
2,2,9,0.5808934593261377,40,11,68,1,24,smooth
3,3,10,0.42667508623071804,28,11,68,1,24,smooth
4,4,11,0.3041842127512766,23,11,68,1,24,smooth
5,5,7,0.6041282272719009,40,11,68,1,24,smooth
6,6,8,0.634919768891561,45,11,68,1,24,smooth
7,7,9,0.5808934593261377,40,11,68,1,24,smooth
8,8,8,0.634919768891561,44,11,68,1,24,smooth
9,9,8,0.634919768891561,42,11,68,1,24,smooth
10,10,8,0.634919768891561,43,11,68,1,24,smooth
