,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,8,0.3841351757692955,31,36,80,0.8,23,smooth
1,1,7,0.24962429237364994,20,36,80,0.8,23,smooth
2,2,9,0.6509396239863302,52,36,80,0.8,23,smooth
3,3,10,0.8419132415680805,67,36,80,0.8,23,smooth
4,4,11,0.9439160664377791,74,36,80,0.8,23,smooth
5,5,12,1.0,81,36,80,0.8,23,smooth
6,6,13,0.9310868035614035,75,36,80,0.8,23,smooth
7,7,14,0.7153738460737423,57,36,80,0.8,23,smooth
8,8,11,0.9439160664377791,78,36,80,0.8,23,smooth
9,9,12,1.0,81,36,80,0.8,23,smooth
10,10,13,0.9310868035614035,74,36,80,0.8,23,smooth
