,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,30,0.3632565978712885,22,26,61,0,69,rough
1,1,29,0.48015317138283325,30,26,61,0,69,rough
2,2,28,0.5315619748611723,33,26,61,0,69,rough
3,3,27,0.7789387356153767,48,26,61,0,69,rough
4,4,26,1.0,62,26,61,0,69,rough
5,5,25,0.814003284113426,49,26,61,0,69,rough
6,6,24,0.5993402010427997,37,26,61,0,69,rough
7,7,23,0.7147031365549676,47,26,61,0,69,rough
8,8,22,0.698234010499189,43,26,61,0,69,rough
9,9,21,0.4631139748397245,27,26,61,0,69,rough
10,10,20,0.5179071090962032,32,26,61,0,69,rough
