,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,2,0.20928544227807314,13,28,61,0.2,43,smooth
1,1,3,0.45448793352283245,28,28,61,0.2,43,smooth
2,2,4,0.6480491653925223,40,28,61,0.2,43,smooth
3,3,5,0.6123986284948025,36,28,61,0.2,43,smooth
4,4,6,0.4733818245329534,30,28,61,0.2,43,smooth
5,5,7,0.32491027795947763,20,28,61,0.2,43,smooth
6,6,4,0.6480491653925223,40,28,61,0.2,43,smooth
7,7,3,0.45448793352283245,26,28,61,0.2,43,smooth
8,8,5,0.6123986284948025,35,28,61,0.2,43,smooth
9,9,4,0.6480491653925223,39,28,61,0.2,43,smooth
10,10,3,0.45448793352283245,28,28,61,0.2,43,smooth
