,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,20,0.9652127306083894,64,28,64,0,42,rough
1,1,19,0.636846270253349,40,28,64,0,42,rough
2,2,21,1.0,63,28,64,0,42,rough
3,3,22,0.7302456119046754,46,28,64,0,42,rough
4,4,23,0.4264702750244219,26,28,64,0,42,rough
5,5,24,0.14350719323096298,8,28,64,0,42,rough
6,6,21,1.0,64,28,64,0,42,rough
7,7,20,0.9652127306083894,63,28,64,0,42,rough
8,8,21,1.0,63,28,64,0,42,rough
9,9,22,0.7302456119046754,44,28,64,0,42,rough
10,10,21,1.0,64,28,64,0,42,rough
