,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,18,0.3112457074204715,22,4,73,0.4,23,smooth
1,1,19,0.5669089072087897,40,4,73,0.4,23,smooth
2,2,20,0.752383702765443,56,4,73,0.4,23,smooth
3,3,21,0.8688362420758847,64,4,73,0.4,23,smooth
4,4,22,0.9578787818179191,72,4,73,0.4,23,smooth
5,5,23,1.0,73,4,73,0.4,23,smooth
6,6,24,0.9410162889103971,70,4,73,0.4,23,smooth
7,7,23,1.0,72,4,73,0.4,23,smooth
8,8,22,0.9578787818179191,69,4,73,0.4,23,smooth
9,9,21,0.8688362420758847,63,4,73,0.4,23,smooth
10,10,20,0.752383702765443,55,4,73,0.4,23,smooth
