,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,20,0.0825698068096695,7,31,72,0,34,smooth
1,1,19,0.0,1,31,72,0,34,smooth
2,2,21,0.5818764764422084,40,31,72,0,34,smooth
3,3,22,1.0,71,31,72,0,34,smooth
4,4,23,0.8248194593184054,59,31,72,0,34,smooth
5,5,24,0.28271857383708004,21,31,72,0,34,smooth
6,6,21,0.5818764764422084,43,31,72,0,34,smooth
7,7,22,1.0,71,31,72,0,34,smooth
8,8,21,0.5818764764422084,41,31,72,0,34,smooth
9,9,22,1.0,72,31,72,0,34,smooth
10,10,21,0.5818764764422084,41,31,72,0,34,smooth
