,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,25,0.24461970483814635,15,25,61,0.2,50,rough
1,1,24,0.3021465177909813,18,25,61,0.2,50,rough
2,2,23,0.28085939054959763,16,25,61,0.2,50,rough
3,3,26,0.2922770041543549,15,25,61,0.2,50,rough
4,4,27,0.27208613607123777,18,25,61,0.2,50,rough
5,5,28,0.07565789298543567,5,25,61,0.2,50,rough
6,6,22,0.347845536438343,19,25,61,0.2,50,rough
7,7,21,0.48921812943705667,29,25,61,0.2,50,rough
8,8,20,0.3292257815965153,20,25,61,0.2,50,rough
9,9,19,0.33835685957246653,21,25,61,0.2,50,rough
10,10,18,0.7987404451025615,48,25,61,0.2,50,rough
