,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,18,0.34585001600528004,24,7,71,0.6,78,smooth
1,1,19,0.4736032432367002,34,7,71,0.6,78,smooth
2,2,20,0.38000656713597636,27,7,71,0.6,78,smooth
3,3,21,0.15904020537071187,11,7,71,0.6,78,smooth
4,4,17,0.16452923875268902,10,7,71,0.6,78,smooth
5,5,19,0.4736032432367002,34,7,71,0.6,78,smooth
6,6,16,0.21034407802451743,15,7,71,0.6,78,smooth
7,7,19,0.4736032432367002,33,7,71,0.6,78,smooth
8,8,18,0.34585001600528004,25,7,71,0.6,78,smooth
9,9,19,0.4736032432367002,34,7,71,0.6,78,smooth
10,10,20,0.38000656713597636,27,7,71,0.6,78,smooth
