,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,29,0.2550883699637327,19,14,74,0.6,42,smooth
1,1,28,0.28977759360800825,22,14,74,0.6,42,smooth
2,2,27,0.521906061185611,37,14,74,0.6,42,smooth
3,3,26,0.7309698607667118,54,14,74,0.6,42,smooth
4,4,25,0.7765821132888406,57,14,74,0.6,42,smooth
5,5,24,0.6482627421709266,48,14,74,0.6,42,smooth
6,6,23,0.47992905353857834,34,14,74,0.6,42,smooth
7,7,22,0.41151774112030687,31,14,74,0.6,42,smooth
8,8,21,0.47240773118508994,35,14,74,0.6,42,smooth
9,9,20,0.6021641643355382,44,14,74,0.6,42,smooth
10,10,19,0.6890791048065594,52,14,74,0.6,42,smooth
