,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,14,0.11878161118141368,6,9,60,0.2,21,smooth
1,1,15,0.134367208001501,8,9,60,0.2,21,smooth
2,2,16,0.3686722568245623,22,9,60,0.2,21,smooth
3,3,17,0.7176450067071728,43,9,60,0.2,21,smooth
4,4,18,0.9436044923667241,56,9,60,0.2,21,smooth
5,5,19,1.0,60,9,60,0.2,21,smooth
6,6,20,0.9035846267706472,54,9,60,0.2,21,smooth
7,7,19,1.0,59,9,60,0.2,21,smooth
8,8,18,0.9436044923667241,57,9,60,0.2,21,smooth
9,9,17,0.7176450067071728,42,9,60,0.2,21,smooth
10,10,16,0.3686722568245623,22,9,60,0.2,21,smooth
