,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,25,0.0,0,35,63,0.4,47,rough
1,1,24,0.3078493321682544,20,35,63,0.4,47,rough
2,2,23,0.727098301391206,47,35,63,0.4,47,rough
3,3,22,0.7237969913986216,45,35,63,0.4,47,rough
4,4,21,0.8219571326856063,51,35,63,0.4,47,rough
5,5,26,0.03527086544117967,1,35,63,0.4,47,rough
6,6,27,0.6876939662487835,43,35,63,0.4,47,rough
7,7,28,0.7870925015637397,50,35,63,0.4,47,rough
8,8,29,0.3296021588141457,19,35,63,0.4,47,rough
9,9,30,0.13755754949814678,9,35,63,0.4,47,rough
10,10,23,0.727098301391206,47,35,63,0.4,47,rough
