,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,19,0.46821806831579105,32,25,68,0,36,smooth
1,1,18,0.6022751294206893,42,25,68,0,36,smooth
2,2,17,0.57992032257058,38,25,68,0,36,smooth
3,3,20,0.23436653004093735,16,25,68,0,36,smooth
4,4,21,0.05903060443835843,3,25,68,0,36,smooth
5,5,16,0.4960555805380899,33,25,68,0,36,smooth
6,6,15,0.45671478969019946,29,25,68,0,36,smooth
7,7,14,0.4865009995963233,36,25,68,0,36,smooth
8,8,13,0.5338924283838866,35,25,68,0,36,smooth
9,9,12,0.5522743791946265,36,25,68,0,36,smooth
10,10,11,0.573711095576146,38,25,68,0,36,smooth
