,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,9,0.7107425431413056,56,2,80,0.2,36,rough
1,1,8,1.0,79,2,80,0.2,36,rough
2,2,7,0.9431653125242438,76,2,80,0.2,36,rough
3,3,10,0.5497138044516832,45,2,80,0.2,36,rough
4,4,11,0.675571200155954,53,2,80,0.2,36,rough
5,5,12,0.19835641932627307,17,2,80,0.2,36,rough
6,6,7,0.9431653125242438,75,2,80,0.2,36,rough
7,7,8,1.0,79,2,80,0.2,36,rough
8,8,9,0.7107425431413056,57,2,80,0.2,36,rough
9,9,7,0.9431653125242438,75,2,80,0.2,36,rough
10,10,8,1.0,79,2,80,0.2,36,rough
