,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,21,0.6924674110652616,46,15,68,0,6,rough
1,1,22,0.713322701111383,49,15,68,0,6,rough
2,2,23,0.7171477789632733,48,15,68,0,6,rough
3,3,24,0.6097711657291071,42,15,68,0,6,rough
4,4,25,0.39611982189594847,26,15,68,0,6,rough
5,5,21,0.6924674110652616,47,15,68,0,6,rough
6,6,22,0.713322701111383,51,15,68,0,6,rough
7,7,23,0.7171477789632733,48,15,68,0,6,rough
8,8,24,0.6097711657291071,42,15,68,0,6,rough
9,9,22,0.713322701111383,50,15,68,0,6,rough
10,10,23,0.7171477789632733,49,15,68,0,6,rough
