,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,25,0.04429594070554394,2,22,66,0.6,38,smooth
1,1,24,0.011610660989053863,0,22,66,0.6,38,smooth
2,2,26,0.16195114796599755,11,22,66,0.6,38,smooth
3,3,27,0.30795950274569855,19,22,66,0.6,38,smooth
4,4,28,0.390109447685958,26,22,66,0.6,38,smooth
5,5,29,0.33254672210766095,21,22,66,0.6,38,smooth
6,6,23,0.12086739836264261,7,22,66,0.6,38,smooth
7,7,22,0.3147905585366214,20,22,66,0.6,38,smooth
8,8,21,0.43922289654260604,28,22,66,0.6,38,smooth
9,9,20,0.4494023669394438,29,22,66,0.6,38,smooth
10,10,19,0.38550762404536876,25,22,66,0.6,38,smooth
