,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,18,0.34585001600528004,22,7,62,0.4,70,smooth
1,1,19,0.4736032432367002,30,7,62,0.4,70,smooth
2,2,20,0.38000656713597636,22,7,62,0.4,70,smooth
3,3,21,0.15904020537071187,9,7,62,0.4,70,smooth
4,4,19,0.4736032432367002,31,7,62,0.4,70,smooth
5,5,18,0.34585001600528004,21,7,62,0.4,70,smooth
6,6,19,0.4736032432367002,30,7,62,0.4,70,smooth
7,7,17,0.16452923875268902,10,7,62,0.4,70,smooth
8,8,19,0.4736032432367002,29,7,62,0.4,70,smooth
9,9,20,0.38000656713597636,22,7,62,0.4,70,smooth
10,10,19,0.4736032432367002,31,7,62,0.4,70,smooth
