,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,9,0.052765440127912705,4,14,76,0.2,14,smooth
1,1,10,0.1278161429087331,9,14,76,0.2,14,smooth
2,2,11,0.32970452368672754,26,14,76,0.2,14,smooth
3,3,12,0.6235806158000567,47,14,76,0.2,14,smooth
4,4,13,0.723793347479395,55,14,76,0.2,14,smooth
5,5,14,0.4777140856156505,37,14,76,0.2,14,smooth
6,6,15,0.17618121017705604,14,14,76,0.2,14,smooth
7,7,14,0.4777140856156505,37,14,76,0.2,14,smooth
8,8,13,0.723793347479395,54,14,76,0.2,14,smooth
9,9,12,0.6235806158000567,48,14,76,0.2,14,smooth
10,10,11,0.32970452368672754,24,14,76,0.2,14,smooth
