,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,5,0.2518444159423507,20,14,75,0,9,rough
1,1,6,0.43350906350807766,34,14,75,0,9,rough
2,2,7,0.536962438365207,40,14,75,0,9,rough
3,3,8,0.44476167646166304,32,14,75,0,9,rough
4,4,9,0.6346036384231863,46,14,75,0,9,rough
5,5,10,0.6015967713897674,44,14,75,0,9,rough
6,6,11,0.4519758847934451,33,14,75,0,9,rough
7,7,12,0.3488361525184188,26,14,75,0,9,rough
8,8,9,0.6346036384231863,45,14,75,0,9,rough
9,9,10,0.6015967713897674,45,14,75,0,9,rough
10,10,9,0.6346036384231863,49,14,75,0,9,rough
